"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
714,"BHC",6114.44,,-6.30%,-172.50%,-0.70%,1.10,0.90,51.39,51.39,72.50%,-7.10%,-25.20%,8/6/2020 8:30:00 AM,17.37,2.90%,10205178
715,"BHE",760.88,3.01%,0.00%,0.10%,2.10%,2.60,1.80,0.17,0.18,8.30%,0.20%,0.00%,7/29/2020 4:30:00 PM,21.47,1.13%,166091
716,"BHF",2732.97,,1.10%,13.60%,-2.60%,,,0.19,0.19,,,22.10%,8/6/2020 4:30:00 PM,28.79,-1.84%,606929
717,"BHK",859.73,5.08%,,,,,,,,,,,,15.97,0.19%,196773
718,"BHLB",504.34,4.67%,-3.90%,-33.10%,16.70%,,,0.09,0.09,,67.70%,,7/29/2020 4:30:00 PM,10.43,1.46%,361173
719,"BHP",130132.79,3.94%,8.00%,16.50%,14.70%,1.60,1.30,0.47,0.56,,37.50%,19.30%,,55.47,-0.73%,3625525
720,"BHR",88.41,,-3.50%,-17.50%,4.30%,,,3.58,3.58,65.50%,-2.20%,-16.50%,,2.70,0.75%,390077
721,"BHTG",28.70,,-17.90%,226.10%,-21.60%,0.30,0.20,,,14.90%,,,,1.27,0.00%,29882
722,"BHV",26.00,3.40%,,,,,,,,,,,,16.17,0.00%,0
723,"BHVN",3909.89,,-140.00%,,,2.20,2.10,,,67.90%,,,8/10/2020 8:30:00 AM,62.85,-0.02%,176404
724,"BIB",,,,,,,,,,,,,,70.30,-0.83%,80025
725,"BIBL",,1.25%,,,,,,,,,,,,33.53,-0.56%,46406
726,"BICK",,0.88%,,,,,,,,,,,,30.57,-0.66%,750
727,"BIDU",42911.95,,1.20%,2.20%,2.20%,2.80,2.80,0.36,0.43,43.40%,10.40%,3.30%,8/13/2020 4:30:00 PM,124.67,-1.08%,1946091
728,"BIF",1041.07,3.95%,,,,,,,,,,,,10.31,-0.58%,177860
729,"BIG",1816.78,2.57%,20.50%,75.60%,22.90%,1.60,0.90,0.03,0.00,40.10%,16.70%,12.30%,8/28/2020 8:30:00 AM,45.27,-3.15%,1092917
730,"BIGC",4979.33,,,,19.00%,1.80,1.80,,,,,,9/9/2020 4:30:00 PM,74.01,-7.79%,2099436
731,"BIIB",43205.29,,22.30%,46.30%,30.50%,2.50,2.20,0.66,0.66,88.00%,50.90%,40.90%,7/22/2020 8:30:00 AM,275.37,-0.37%,896904
732,"BIL",,1.39%,,,,,,,,,,,,91.54,0.00%,2402370
733,"BILI",15321.38,,-10.60%,-25.10%,-14.60%,3.30,,1.01,1.02,21.40%,-22.70%,-21.50%,8/26/2020 4:30:00 PM,44.22,0.16%,3185103
734,"BILL",6909.07,,-1.60%,-9.00%,-4.80%,1.40,1.40,0.00,0.00,75.20%,-21.70%,-19.70%,8/27/2020 4:30:00 PM,84.19,-0.57%,1176521
735,"BIMI",17.47,,,,-19.50%,0.80,0.70,0.02,0.19,-30.90%,,,,1.69,1.20%,46472
736,"BIO",15061.25,,22.90%,31.70%,-4.50%,2.30,1.60,0.00,0.06,54.70%,10.70%,84.90%,7/30/2020 4:30:00 PM,511.36,-0.35%,69565
737,"BIOC",67.30,,-110.50%,-155.10%,-178.70%,5.20,5.00,0.05,0.10,-96.80%,,,8/12/2020 4:30:00 PM,4.38,-6.61%,572326
